part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-10-0,M22759/11-10-0,1,11,10,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-0/M22759_11-10-0-rev1
M22759_11-10-1,M22759/11-10-1,1,11,10,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-1/M22759_11-10-1-rev1
M22759_11-10-2,M22759/11-10-2,1,11,10,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-2/M22759_11-10-2-rev1
M22759_11-10-3,M22759/11-10-3,1,11,10,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-3/M22759_11-10-3-rev1
M22759_11-10-4,M22759/11-10-4,1,11,10,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-4/M22759_11-10-4-rev1
M22759_11-10-5,M22759/11-10-5,1,11,10,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-5/M22759_11-10-5-rev1
M22759_11-10-6,M22759/11-10-6,1,11,10,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-6/M22759_11-10-6-rev1
M22759_11-10-7,M22759/11-10-7,1,11,10,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-7/M22759_11-10-7-rev1
M22759_11-10-8,M22759/11-10-8,1,11,10,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-8/M22759_11-10-8-rev1
M22759_11-10-9,M22759/11-10-9,1,11,10,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-9/M22759_11-10-9-rev1
M22759_11-10-90,M22759/11-10-90,1,11,10,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-90/M22759_11-10-90-rev1
M22759_11-10-91,M22759/11-10-91,1,11,10,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-91/M22759_11-10-91-rev1
M22759_11-10-92,M22759/11-10-92,1,11,10,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-92/M22759_11-10-92-rev1
M22759_11-10-93,M22759/11-10-93,1,11,10,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-93/M22759_11-10-93-rev1
M22759_11-10-94,M22759/11-10-94,1,11,10,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-94/M22759_11-10-94-rev1
M22759_11-10-95,M22759/11-10-95,1,11,10,95,white/green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-95/M22759_11-10-95-rev1
M22759_11-10-96,M22759/11-10-96,1,11,10,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-96/M22759_11-10-96-rev1
M22759_11-10-97,M22759/11-10-97,1,11,10,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-97/M22759_11-10-97-rev1
M22759_11-10-98,M22759/11-10-98,1,11,10,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x26,0.1095,0.139,0.0148,37.8,1.19,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-10-98/M22759_11-10-98-rev1
M22759_11-12-0,M22759/11-12-0,1,11,12,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-0/M22759_11-12-0-rev1
M22759_11-12-1,M22759/11-12-1,1,11,12,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-1/M22759_11-12-1-rev1
M22759_11-12-2,M22759/11-12-2,1,11,12,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-2/M22759_11-12-2-rev1
M22759_11-12-3,M22759/11-12-3,1,11,12,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-3/M22759_11-12-3-rev1
M22759_11-12-4,M22759/11-12-4,1,11,12,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-4/M22759_11-12-4-rev1
M22759_11-12-5,M22759/11-12-5,1,11,12,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-5/M22759_11-12-5-rev1
M22759_11-12-6,M22759/11-12-6,1,11,12,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-6/M22759_11-12-6-rev1
M22759_11-12-7,M22759/11-12-7,1,11,12,7,violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-7/M22759_11-12-7-rev1
M22759_11-12-8,M22759/11-12-8,1,11,12,8,gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-8/M22759_11-12-8-rev1
M22759_11-12-9,M22759/11-12-9,1,11,12,9,white,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-9/M22759_11-12-9-rev1
M22759_11-12-90,M22759/11-12-90,1,11,12,90,white/black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-90/M22759_11-12-90-rev1
M22759_11-12-91,M22759/11-12-91,1,11,12,91,white/brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-91/M22759_11-12-91-rev1
M22759_11-12-92,M22759/11-12-92,1,11,12,92,white/red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-92/M22759_11-12-92-rev1
M22759_11-12-93,M22759/11-12-93,1,11,12,93,white/orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-93/M22759_11-12-93-rev1
M22759_11-12-94,M22759/11-12-94,1,11,12,94,white/yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-94/M22759_11-12-94-rev1
