container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	6
conductors	yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	7
conductors	violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	8
conductors	gray	{'base_color':'white','outline_color':'black','parallelstripe':['gray']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	9
conductors	brown	{'base_color':'white','outline_color':'black','parallelstripe':['brown']}	M81044/9-18	19x30	18AWG	crosslinked polyalkene with crosslinked PVDF jacket	0.0096lbs/ft	M81044/9 slash-sheet max weight, lbs/1000 ft (Ryan Electronics, https://www.ryanelectronics.com/products/m810449/)	tin-coated copper	0.080in	6.23ohm/1000ft	150C	600V	10
