container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	6
conductors	yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	7
conductors	violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	8
conductors	gray	{'base_color':'white','outline_color':'black','parallelstripe':['gray']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	9
conductors	brown	{'base_color':'white','outline_color':'black','parallelstripe':['brown']}	M22759/32-18	19x30	18AWG	crosslinked modified ETFE	0.0065lbs/ft	M22759/32 slash-sheet max weight, lbs/1000 ft (Glenair wire diameter lookup tables, https://www.glenair.com/guardian-conduit-system/pdf/wire-diameter-lookup-tables.pdf)	tin-coated copper	0.060in	6.23ohm/1000ft	150C	600V	10
