container	identifier	appearance	component_wire	construction	gauge	insulation material	mass	mass_source	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	1
conductors	blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	2
conductors	orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	3
conductors	green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	4
conductors	red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	5
conductors	black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	6
conductors	yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	7
conductors	violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	8
conductors	gray	{'base_color':'white','outline_color':'black','parallelstripe':['gray']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	9
conductors	brown	{'base_color':'white','outline_color':'black','parallelstripe':['brown']}	M81381/13-24	19x36	24AWG	FEP/polyimide/FEP tape with aromatic polyimide coating	0.0022lbs/ft	M81381/13 slash-sheet max weight, lbs/1000 ft (FDH Aero / Thermax, https://fdhaero.com/item/m81381-13-wire-medium-weight-high-strength-conductor/)	silver-coated high-strength copper alloy	0.043in	28.4ohm/1000ft	200C	600V	10
