part_number,rev,specification,conductors,gauge_awg,stranding,basic_wire_symbol,component_wire_spec,component_wire_pn,insulation_material,conductor_material,conductor_od_in,conductor_resistance_ohm_per_1000ft,identification_method,identification_color_table,identification_marking,wire_identification_colors,shield_code,shield_description,shield_material,shield_style,shield_coverage,shield_temperature_c,jacket_code,jacket_description,jacket_material,jacket_color,jacket_construction,jacket_temperature_c,core_od_in_estimated,overall_od_in_estimated,temperature_rating_c,voltage_rating_v,path
M27500-12MH10S00,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,00,no jacket,,,,,0.490,0.515,150,600,M27500-12MH10S00/M27500-12MH10S00-rev1
M27500-12MH10S09,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.490,0.555,150,600,M27500-12MH10S09/M27500-12MH10S09-rev1
M27500-12MH10S14,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.490,0.555,150,600,M27500-12MH10S14/M27500-12MH10S14-rev1
M27500-12MH10S23,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,S,"round, silver-coated copper",silver-coated copper,round braid,85%,200,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.490,0.555,150,600,M27500-12MH10S23/M27500-12MH10S23-rev1
M27500-12MH10T00,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,00,no jacket,,,,,0.490,0.515,150,600,M27500-12MH10T00/M27500-12MH10T00-rev1
M27500-12MH10T09,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.490,0.555,150,600,M27500-12MH10T09/M27500-12MH10T09-rev1
M27500-12MH10T14,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,14,extruded white ethylene-tetrafluoroethylene copolymer (ETFE),ETFE,white,extruded,150,0.490,0.555,150,600,M27500-12MH10T14/M27500-12MH10T14-rev1
M27500-12MH10T23,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,T,"round, tin-coated copper",tin-coated copper,round braid,85%,150,23,extruded white crosslinked modified ETFE (XLETFE),XLETFE,white,extruded,200,0.490,0.555,150,600,M27500-12MH10T23/M27500-12MH10T23-rev1
M27500-12MH10U00,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,U,no shield,,,,,00,no jacket,,,,,0.490,0.490,150,600,M27500-12MH10U00/M27500-12MH10U00-rev1
M27500-12MH10U09,1,MIL-DTL-27500,10,12,37x28,MH,MIL-DTL-81044/9,M81044/9-12,crosslinked polyalkene with crosslinked PVDF jacket,tin-coated copper,0.126,2.02,-,IIIA,stripe,white|white/blue|white/orange|white/green|white/red|white/black|white/yellow|white/violet|white/gray|white/brown,U,no shield,,,,,09,extruded white fluorinated ethylene propylene (FEP),FEP,white,extruded,200,0.490,0.530,150,600,M27500-12MH10U09/M27500-12MH10U09-rev1
