library_pn,official_pin,mil_spec,slash_sheet,dash,common_name,gender,contacts,connector_type,density,shell_size,shell_letter,pin_count,contact_size,finish,finish_name,class
M24308_1-1A,M24308/1-1A,MIL-DTL-24308,1,1,DE-9 (DB-9),Receptacle,socket,Solder Cup,Standard,1,E,9,20,A,pure electrodeposited aluminum,G
M24308_1-1F,M24308/1-1F,MIL-DTL-24308,1,1,DE-9 (DB-9),Receptacle,socket,Solder Cup,Standard,1,E,9,20,F,cadmium,G
M24308_1-1K,M24308/1-1K,MIL-DTL-24308,1,1,DE-9 (DB-9),Receptacle,socket,Solder Cup,Standard,1,E,9,20,K,zinc nickel,G
M24308_1-1T,M24308/1-1T,MIL-DTL-24308,1,1,DE-9 (DB-9),Receptacle,socket,Solder Cup,Standard,1,E,9,20,T,nickel fluorocarbon polymer,G
M24308_1-1Z,M24308/1-1Z,MIL-DTL-24308,1,1,DE-9 (DB-9),Receptacle,socket,Solder Cup,Standard,1,E,9,20,Z,zinc,G
M24308_1-2A,M24308/1-2A,MIL-DTL-24308,1,2,DA-15,Receptacle,socket,Solder Cup,Standard,2,A,15,20,A,pure electrodeposited aluminum,G
M24308_1-2F,M24308/1-2F,MIL-DTL-24308,1,2,DA-15,Receptacle,socket,Solder Cup,Standard,2,A,15,20,F,cadmium,G
M24308_1-2K,M24308/1-2K,MIL-DTL-24308,1,2,DA-15,Receptacle,socket,Solder Cup,Standard,2,A,15,20,K,zinc nickel,G
M24308_1-2T,M24308/1-2T,MIL-DTL-24308,1,2,DA-15,Receptacle,socket,Solder Cup,Standard,2,A,15,20,T,nickel fluorocarbon polymer,G
M24308_1-2Z,M24308/1-2Z,MIL-DTL-24308,1,2,DA-15,Receptacle,socket,Solder Cup,Standard,2,A,15,20,Z,zinc,G
M24308_1-3A,M24308/1-3A,MIL-DTL-24308,1,3,DB-25,Receptacle,socket,Solder Cup,Standard,3,B,25,20,A,pure electrodeposited aluminum,G
M24308_1-3F,M24308/1-3F,MIL-DTL-24308,1,3,DB-25,Receptacle,socket,Solder Cup,Standard,3,B,25,20,F,cadmium,G
M24308_1-3K,M24308/1-3K,MIL-DTL-24308,1,3,DB-25,Receptacle,socket,Solder Cup,Standard,3,B,25,20,K,zinc nickel,G
M24308_1-3T,M24308/1-3T,MIL-DTL-24308,1,3,DB-25,Receptacle,socket,Solder Cup,Standard,3,B,25,20,T,nickel fluorocarbon polymer,G
M24308_1-3Z,M24308/1-3Z,MIL-DTL-24308,1,3,DB-25,Receptacle,socket,Solder Cup,Standard,3,B,25,20,Z,zinc,G
M24308_1-4A,M24308/1-4A,MIL-DTL-24308,1,4,DC-37,Receptacle,socket,Solder Cup,Standard,4,C,37,20,A,pure electrodeposited aluminum,G
M24308_1-4F,M24308/1-4F,MIL-DTL-24308,1,4,DC-37,Receptacle,socket,Solder Cup,Standard,4,C,37,20,F,cadmium,G
M24308_1-4K,M24308/1-4K,MIL-DTL-24308,1,4,DC-37,Receptacle,socket,Solder Cup,Standard,4,C,37,20,K,zinc nickel,G
M24308_1-4T,M24308/1-4T,MIL-DTL-24308,1,4,DC-37,Receptacle,socket,Solder Cup,Standard,4,C,37,20,T,nickel fluorocarbon polymer,G
M24308_1-4Z,M24308/1-4Z,MIL-DTL-24308,1,4,DC-37,Receptacle,socket,Solder Cup,Standard,4,C,37,20,Z,zinc,G
